cust_id,prd_id,returned_flag,transc_at,transc_price,quantities
MarvinCannon@gmail.com,test-nike,f,9/14/16,180,1
EdwinBryan@gmail.com,test-nike,f,9/14/16,180,1
GlenGray@hotmail.com,test-nike,f,9/14/16,180,1
MatthewWatkins@gmail.com,test-nike,f,9/14/16,180,1
JerryButler@hotmail.com,test-nike,f,9/14/16,180,1
MatthewHaley@gmail.com,test-nike,f,9/14/16,180,1
BrentStone@gmail.com,test-nike,f,9/14/16,180,1
WilliamOlson@gmail.com,test-nike,f,9/14/16,180,1
RichardBenson@hotmail.com,test-nike,f,9/14/16,180,1
AlexanderNelson@gmail.com,test-nike,f,9/14/16,180,1
VictorTyler@hotmail.com,test-nike,f,9/14/16,180,1
FrankHoward@hotmail.com,test-nike,f,9/14/16,180,1
WilliamMoore@gmail.com,test-nike,f,9/14/16,180,1
